Author,Title,Source,URL,Category,Description,Published Status
"Pei H, Wang Y, Zhang X, et al.",Association of frailty status with adverse clinical outcomes in patients with COVID-19: protocol for a systematic review and dose–response meta-analysis,BMJ Open,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8098297/,,,development
"Zhang K, Zhang X, Ding W, et al.",The Prognostic Accuracy of National Early Warning Score 2 on Predicting Clinical Deterioration for Patients With COVID-19: A Systematic Review and Meta-Analysis,Front Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8298908/,,To evaluate the prognostic accuracy of the NEWS2 on predicting clinical deterioration for patients with COVID-19. ,published
"Theodoratou E, McQuillan R, Dozier M, et al ",A systematic review and meta-analysis of severe COVID-19 risk among adults and children with severe asthma,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270284,,,development
"Fernandes MR, Dala Rivas DFD, Nacif LS",Cholangiopathy after COVID-19 infection: systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270336,,,development
"Babata K, Yeo KT, Chan C, et al ",Feeding strategies to prevent neonatal SARS-CoV-2 infection in term or late preterm babies born to mothers with confirmed COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268576,,,development
"Quintero C, Mesa D",Mechanical ventilation and oxygen therapy in patients with COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269176,,,development
"Lin CY, Lee MD",Repurposing colchicine in treating patients with COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270201,,,development
"De Diego-Cordero R, Ávila-Montilla A, Vega-Escaño J, et al",Spirituality and health during the COVID-19 pandemic: integrative review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269210,,,development
"Lin CY, Tai YL",Treating COVID-19 patients with monoclonal antibodies: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270206,,,development
"Silvestre FJ, Martinez-Herrera M, Márquez-Arrico CF, et al.","COVID-19, A new challenge in the dental practice",J Clin Exp Dent,https://pubmed.ncbi.nlm.nih.gov/34306535/,,To offer a clinical protocol to reduce the risk of infection of COVID-19 in dental settings.,published
"Zahedi M, Yousefi M, Abounoori M, et al.",The Interrelationship between Liver Function Test and the Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,Iran J Med Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8288495/,,To establish the characteristics of liver function tests in COVID-19 patients.,published
"Sun P, Wang M, Song T, et al. ",The Psychological Impact of COVID-19 Pandemic on Health Care Workers: A Systematic Review and Meta-Analysis,Front Psychol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8297953/,,To determine the psychological impact of COVID-19 pandemic on health care workers.,published
"Shafiabadi Hassani N, Talakoob H, Karim H, et al.",Cardiac Magnetic Resonance Imaging Findings in 2954 COVID-19 Adult Survivors: A Comprehensive Systematic Review,J Magn Reson Imaging,https://pubmed.ncbi.nlm.nih.gov/34309139/,,To systematically review the main cardiac MRI findings in COVID-19 adult survivors.,published
"Tarun V, Anurag T, Yugal K, et al.",Orthopaedic operating room considerations in covid-19 pandemic: A systematic review,J Anthrosc Jt Surg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7900750/,,To review various operating room measures which are recommended and being followed to carry out orthopaedic surgeries in the current scenario of COVID 19 pandemic. ,published
"Guo S, Kaminga AC, Xiong J, et al.",Depression and Coping Styles of College Students in China During COVID-19 Pandemic: A Systemic Review and Meta-Analysis,Front Public Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8292621/,,To evaluate the prevalence of depression among college students in China during the lockdown due to the COVID-19 pandemic and assess their coping strategies. ,published
"Szarpak L, Rafique Z, Gasecka A, et al.",A systematic review and meta-analysis of effect of vitamin D levels on the incidence of COVID-19,Cardiol J,https://pubmed.ncbi.nlm.nih.gov/34308537/,,To establish a connection between vitamin D status and COVID-19 infection.,published
"Kusumawardhani N, Dewi IP, Dharmadjati BB, et al.",Extracorporeal Membrane Oxygenation Used in Acute Respiratory Distress Syndrome with COVID-19: A Systematic Review and Meta-Analysis,J Saudi Heart Assoc,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8294133/,,To systematically review and meta-analysis ECMO use in COVID-19 patients.,published
"Yin B, Bi YM, Sun L, et al.",Efficacy of Integrated Traditional Chinese and Western Medicine for Treating COVID-19: A Systematic Review and Meta-Analysis of RCTs,Front Public Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8298033/,,To evaluate the efficacy of integrated medicine therapy for patients with COVID-19.,published
"Ford N, Holmer HK, Chou R, et al.",Mask use in community settings in the context of COVID-19: A systematic review of ecological data,EClinicalMedicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8287197/,,"To summarize the study designs, outcomes, and key quality indicators of using ecological data to evaluate the association between mask wearing and COVID-19 outcomes. ",published
"Rastogi A, Dogra H, Jude EB, et al.",COVID-19 and peripheral arterial complications in people with diabetes and hypertension: A systematic review,Diabetes Metab Syndr,https://pubmed.ncbi.nlm.nih.gov/34303918/,,"To identify the prevalence, risk factors and outcomes of lower extremity ischemic complications.",published
"Drissi N, Ouhbi S, Marques G, et al.",A systematic literature review on e-mental health solutions to assist health care workers during COVID-19,Telemed J E Health,https://pubmed.ncbi.nlm.nih.gov/32970532/,,To review the evidence on developed e-mental health interventions for HCWs during the COVID-19 pandemic.,published
"Fan KS, Ghani SA, Machairas N, et al.",COVID-19 prevention and treatment information on the internet: a systematic analysis and quality assessment,BMJ Open,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7485261/,,"To assess the quality of information of top indexed websites that discuss information, prevention or treatment of COVID-19.",published
"Goswami J, MacArthur TA, Sridharan M, et al.","A Review of Pathophysiology, Clinical Features, and Management Options of COVID-19 Associated Coagulopathy",Shock,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8122038/,,To summarize and discuss the current literature on laboratory coagulation disruptions associated with COVID-19 and the clinical effects of thromboembolic events in COVID-19. ,published
"Lieneck C, Herzog B, Krips R",Analysis of Facilitators and Barriers to the Delivery of Routine Care during the COVID-19 Global Pandemic: A Systematic Review,Healthcare,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147259/,,To identify and classify facilitators and barriers related to the delivery of routine care during the COVID-19 global pandemic.,published
"Adamidi ES, Mitsis K, Nikita KS, et al.",Artificial intelligence in clinical care amidst COVID-19 pandemic: A systematic review,Comput Struct Biotechnol J,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123783/,,"To review the evidence on Artificial Intelligence techniques developed and validated for screening, diagnosis, and prognosis of the coronavirus disease 2019. ",published
"Zhao R, Su Z, Komissarov AA, et al.","Associations of D-Dimer on Admission and Clinical Features of COVID-19 Patients: A Systematic Review, Meta-Analysis, and Meta-Regression",Front Immunol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8138429/,,"To explore the relationships between the plasma D-dimer level on admission with demographics, laboratory tests, fatal cardiopulmonary function, radiology, interventions, complications, and outcomes.",published
"Mehraeen E, Najafi Z, Hayati B, et al.",Current Treatments and Therapeutic Options for COVID-19 Patients: A Systematic Review,Infect Disord Drug Targets,https://pubmed.ncbi.nlm.nih.gov/34313204/,,To describe the recent treatment strategies to treat COVID-19 patients.,published
"Xu H, Stjernswärd S, Glasdam S, et al.",Psychosocial experiences of frontline nurses working in hospital-based settings during the COVID-19 pandemic - A qualitative systematic review,Int J Nurs Stud Adv,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8285218/,,To explore the psychosocial experiences of frontline nurses working in hospital-based settings during the COVID-19 pandemic.,published
"Chen X, Chen Z, Azman AS, et al. ",Neutralizing antibodies against SARS-CoV-2 variants induced by natural infection or vaccination: a systematic review and pooled meta-analysis,Clin Infect Dis,https://pubmed.ncbi.nlm.nih.gov/34302458/,,To summarize the evidence on neutralization ability against various SARS-CoV-2 variants among those previously infected with strains from the original SARSCoV-2 lineage and those who have been vaccinated,published
"Octavius GS, Tan AO, Wijaya JH, et al ",Autopsy findings of pediatric patients with COVID-19: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269497,,,development
"Tenrisau D, Sudaryo MK",Correlation Between Periodontal Diseases and COVID-19 Severity,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269582,,,development
"Dai M, Xu H, Ge WH, et al ",Impact of chronic oral anticoagulation on clinical outcomes among patients with COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269764,,,development
"Mishra A, Kh R, Maiti R",Ivermectin in prophylaxis and therapy of COVID-19: an umbrella review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=267928,,,development
"Dhingra K, Paster B, Verma F, et al ",Oral and oropharyngeal microbiome in COVID-19 patients: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269036,,,development
"Min S, Ahn YM, Koo JW, et al ",The aftermath: post-pandemic psychiatric implications of the COVID-19 pandemic - a South Korean perspective,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268941,,,development
"Wolday D, Gebrecherkos T, Kiros YK, et al ",The burden and outcomes of co-infection with parasites among COVID-19 patients,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268438,,,development
"Endomba FT, Wouna DLA, Meli DLT",The COVID-19 pandemic and the mental health of university students in Africa: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269772,,,development
"Cui Y, Guo C, Wang J, et al ",The effects of walnut shell moxibustion in COVID-19 patients with conjunctivitis: A protocol for systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269939,,,development
"Im J, Jin Y, Yan P, et al ",The impact of delayed anti-VEGF treatments due to the COVID-19 pandemic among patients with retinal diseases: systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268653,,,development
"Bonnechere B, Feys P, Timmermans A, et al ",The use of mHealth to maintain the quality of rehabilitation during COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=257073,,,development
"Damara F, Soetedjo NNM","Thyroid profiles and COVID-19 outcomes: a systematic review, meta-analysis, and meta-regression",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=267278,,,development
"Timbrook TT, Hueth KD, Ginocchio CC",Identification of bacterial co-detections in COVID-19 critically Ill patients by BioFire® FilmArray® pneumonia panel: a systematic review and meta-analysis,Diagn Microbil Infect Dis,https://pubmed.ncbi.nlm.nih.gov/34303085/,,To review the evidence on the impact of BioFire® FilmArray® Pneumonia Panel in detecting bacteria and clinical management among critically ill COVID-19 patients admitted to the ICU.,published
"Purja S, Shin H, Lee JY, et al.",Is loss of smell an early predictor of COVID-19 severity: a systematic review and meta-analysis,Arch Pharm Res,https://pubmed.ncbi.nlm.nih.gov/34302637/,,To examine the association between COVID-19 severity and loss of smell (LOS) in patients with COVID-19.,published
"Ferro A, Kotecha S, Auzinger G, et al.",Systematic review and meta-analysis of tracheostomy outcomes in COVID-19 patients,Br J Oral Maxillofac Surg,https://pubmed.ncbi.nlm.nih.gov/34294476/,,"To determine the cumulative incidence of complications, mortality, time to decannulation and ventilatory weaning.",published
"Shah K, Varna PV, Pandya A, et al.",Low vitamin D levels and prognosis in a COVID-19 paediatric population: a systematic review,QJM,https://pubmed.ncbi.nlm.nih.gov/34293161/,,"To study the relationship between vitamin D level, risk and severity of COVID-19 infection in pediatric population through systematic review.",published
"Shah K, Upadhyaya M, Kandre Y, et al.","Epidemiological, Clinical and Biomarker Profile of Pediatric Patients Infected with COVID-19",QJM,https://pubmed.ncbi.nlm.nih.gov/34293142/,,"To provide comprehensive overview of epidemiological, clinical and biomarker profile of COVID-19 infection in pediatric population.",published
"Arce Pardo S, Lai S, Ortiz-Muñoz L, et al.",Pulmonary rehabilitation for COVID-19: A living systematic review protocol,Medwave,https://pubmed.ncbi.nlm.nih.gov/34292923/,,,development
"Zaffanello M, Piacentini G, Nosetti L, et al.",Thrombotic risk in children with COVID-19 infection: A systematic review of the literature,Thromb Res,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8284063/,,To review the literature for thrombotic complications in children with COVID-19 infection and MIS-C.,published
"Conde-Agudelo A, Romero R",SARS-COV-2 infection during pregnancy and risk of preeclampsia: a systematic review and meta-analysis,Am J Obstet Gynecol,https://pubmed.ncbi.nlm.nih.gov/34302772/,,To examine the relationship between severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection during pregnancy and the risk of preeclampsia.,published
"Karimi A, Nowroozi A, Alilou S, et al.",Effects of Androgen Deprivation Therapy on COVID-19 in Patients with Prostate Cancer: A Systematic Review and Meta-Analysis,Urol J,https://pubmed.ncbi.nlm.nih.gov/34302737/,,To study the effect of androgen deprivation therapy (ADT) on COVID-19 in patients with prostate cancer.,published
"Moradi G, Gholami F, Rasouli MA, et al.",How is the iceberg of COVID-19? Results from a rapid literature review,Med J Islam Repub Iran,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8285553/,Clinical Characteristics,To determine possible scenarios of Coronavirus 2019 (COVID-19) iceberg using published articles.,published
"O'Byrne L, Webster KE, MacKeith S, et al.",Interventions for the treatment of persistent post?COVID?19 olfactory dysfunction,Cochrane Database Syst Rev,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013876.pub2/full#CD013876-sec1-0004,Candidate Therapeutics,"To assess the effects (benefits and harms) of interventions that have been used, or proposed, to treat persisting olfactory dysfunction due to COVID-19 infection.",published
"Ghidini S, Gasperetti A, Winterton D, et al.",Echocardiographic assessment of the right ventricle in COVID-19: a systematic review,Int J Cardiovasc Imaging,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8295549/,Clinical Characteristics,To summarize current knowledge on TTE-based RV assessment in COVID-19.,published
Garcia-Fernandez FJ,"High-Throughput Transcription-mediated amplification (TMA), a real and consolidated alternative for the diagnosis of SARS-COV2. Review.",Research Square,https://www.researchsquare.com/article/rs-742440/v1,Diagnostics,To review the evidence on the use of transcription-mediated amplification assay to diagnose COVID-19.,published
"Molendijk ML, Molero P, Reina G, et al ",A systematic review with meta-analysis on the effects of mental health on SARS-CoV-2 infection risk and COVID-19 outcome,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269432,,,development
"Jung JH, Kim K, Kim YH",Association between risk and severity of COVID-19 and periodontal disease: A systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269564,,,development
"Zahmatyar M, Fazlollahi A","Comparison of Covid-19 vaccines: acceptance, side effects, efficiency and effectiveness against different variants",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=264973,,,development
"Ji C, Wu H",Efficacy and safety of Chinese Medical treatment for COVID-19: a systematic review and meta analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=262111,,,development
"Gonella JM, Leclerc J, O'Connor S et al ",Impact of the COVID-19 pandemic on reports of adverse drug events to health authorities: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=251011,,,development
"Sriwastava S, Wen S","Relevance of CSF, serum and neuroimaging markers in CNS and PNS manifestation in COVID-19: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268791,,,development
"Martin E, Jennings E, Loughlin B, et al ",Systematic review of the impact of COVID-19 on temporomandibular disorders,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268094,,,development
"Almazrua AA, Brown T, Fischer JD, et al ","The impact of the COVID-19 pandemic on out-of-hospital cardiac arrest incidence, processes of care, patient demographics and survival outcomes among adult population: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269461,,,development
"Leblebicioglu H, Ozaras R, Tutal E",A systematic review of autoimmune thyroiditis associated with COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269312,,,development
"Kang X, Jin D, An X, et al ",Clinical management of COVID-19 in traditional Chinese medicine (TCM): a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269173,,,development
"Laganà AS, Sleiman Z",COVID-19 transmission in surgical smoke and aerosols during laparoscopic and open surgery: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268366,,,development
"Leblebicioglu H, Dilek A, Kaya T, et al ",COVID-19 with febrile neutropenia: case report and systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269070,,,development
"Duggal M, Verma P, Miglani V, et al ",Steroidal effect on immunity among Covid-19 patients: a rapid review on the predisposing factor for Rhino-ocular Mucormycosis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268423,,,development
"Yusof RC, Noor NM, Yacob MA",Systematic review and meta-analysis of COVID-19 vaccination acceptance,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268645,,,development
"Ganesh A, Reis IR, Varma M, et al.",Neurological and HEENT Manifestations of COVID-19: A Systematic Review and Meta-Analysis,Can J Neurol Sci,https://pubmed.ncbi.nlm.nih.gov/34287109/,Clinical Characteristics,To review the evidence on the various neurological and atypical HEENT manifestations of COVID-19.,published
"Zuin M, Gentili V, Cervellati C, et al.",Viral Load Difference between Symptomatic and Asymptomatic COVID-19 Patients: Systematic Review and Meta-Analysis,Infect Dis Rep,https://pubmed.ncbi.nlm.nih.gov/34287354/,Clinical Characteristics,To investigate the possible difference in the SARS-CoV-2 viral load between asymptomatic and symptomatic COVID-19 patients.,published
"Zhang D, Huang WJ, Lan MQ",Association between serum amyloid A levels and predicting disase severity in COVID-19 patients: a systematic review and meta-analysis,Eur Rev Med Pharmacol Sci,https://pubmed.ncbi.nlm.nih.gov/34286504/,Clinical Characteristics,"To systematically review the role of SAA levels in distinguishing among patients with mild, severe, and critical COVID-19.",published
"Noori M, Nejadghaderi SA, Arshi S, et al.",Potency of BNT162b2 and mRNA-1273 vaccine-induced neutralizing antibodies against severe acute respiratory syndrome-CoV-2 variants of concern: A systematic review of in vitro studies,Rev Med Virol,https://pubmed.ncbi.nlm.nih.gov/34286893/,Candidate Therapeutics,To systematically review the most recent in vitro studies evaluating the effectiveness of BNT162b2 and mRNA-1273 induced neutralizing antibodies against SARS-CoV-2 variants of concern.,published
